White_Female_Pop,White_Births,Hispanic_Female_Pop,Hispanic_Births,Asian_Female_Pop,Asian_Births,African_American_Female_Pop,African_American_Births,Total_Female_Pop,Total_Births,us,Year,Other_Total_Pop,Other_Total_Births
45739240,2214288,13642816,969388,4320327,234796,10705227,634585,76352003,4168720,1,2010,1944393,115663
45267948,2209244,13881646,944717,4385642,243814,10678168,595983,76202126,4113472,1,2011,1988722,119714
44790429,2206855,14102302,931798,4544112,259018,10704263,612819,76187270,4125353,1,2012,2046164,114863
44328454,2111818,14328898,884198,4633277,247937,10729458,572070,76129362,3930417,1,2013,2109275,114394
43917126,2111959,14691627,891425,4821111,249371,10793190,577974,76395472,3946228,1,2014,2172418,115499
43528688,2114920,14966229,879122,4967052,247130,10817292,569659,76551119,3931053,1,2015,2271858,120222
43167649,2106390,15152184,874722,5037357,257022,10787003,586241,76483611,3946903,1,2016,2339418,122528
42860604,2136880,15472583,878666,5217662,269849,10835268,592963,76791565,3997394,1,2017,2405448,119036
42562402,2111164,15695111,867745,5269281,263152,10835279,586546,76857068,3956960,1,2018,2494995,128353
42308780,2066688,15869681,864844,5281751,252552,10908109,567631,76879571,3877882,1,2019,2511250,126167
42462812,2127510,15599479,874874,5178900,261103,10745156,579056,76683447,3982654,1,2020,2697100,140111
41171444,2015141,16334404,914387,5282830,254937,10323090,536779,77261357,3922188,1,2021,4149589,200944
40825475,2056093,16647830,946385,5408497,272956,10425771,556897,77449729,4036894,1,2022,4142156,204563
