Year,WFP,WB,HFP,HB,AFP,AB,AAFP,AAB,OTP,OTB,TB,TFP
2010,45739240,2214288,13642816,969388,4320327,234796,10705227,634585,1944393,115663,4168720,76352003
2011,45267948,2209244,13881646,944717,4385642,243814,10678168,595983,1988722,119714,4113472,76202126
2012,44790429,2206855,14102302,931798,4544112,259018,10704263,612819,2046164,114863,4125353,76187270
2013,44328454,2111818,14328898,884198,4633277,247937,10729458,572070,2109275,114394,3930417,76129362
2014,43917126,2111959,14691627,891425,4821111,249371,10793190,577974,2172418,115499,3946228,76395472
2015,43528688,2114920,14966229,879122,4967052,247130,10817292,569659,2271858,120222,3931053,76551119
2016,43167649,2106390,15152184,874722,5037357,257022,10787003,586241,2339418,122528,3946903,76483611
2017,42860604,2136880,15472583,878666,5217662,269849,10835268,592963,2405448,119036,3997394,76791565
2018,42562402,2111164,15695111,867745,5269281,263152,10835279,586546,2494995,128353,3956960,76857068
2019,42308780,2066688,15869681,864844,5281751,252552,10908109,567631,2511250,126167,3877882,76879571
2020,42462812,2127510,15599479,874874,5178900,261103,10745156,579056,2697100,140111,3982654,76683447
2021,41171444,2015141,16334404,914387,5282830,254937,10323090,536779,4149589,200944,3922188,77261357
2022,40825475,2056093,16647830,946385,5408497,272956,10425771,556897,4142156,204563,4036894,77449729
