,mean,50%,std
Year,2016.0,2016.0,3.8944404818493075
WFP,43302388.538461536,43167649.0,1489601.1148206543
WB,2122226.923076923,2111959.0,59873.320892895106
HFP,15106522.307692308,15152184.0,941585.491571918
HB,901713.1538461539,884198.0,35245.21784546606
AFP,4949830.692307692,5037357.0,372112.5648811088
AB,254895.15384615384,254937.0,10604.77780567289
AAFP,10714405.692307692,10745156.0,165305.8672231492
AAB,582246.3846153846,579056.0,24538.942307885714
OTP,2559445.076923077,2339418.0,737885.7616605773
OTB,134004.38461538462,120222.0,31318.03049506376
TB,3995086.0,3956960.0,89692.43315910212
TFP,76632592.3076923,76551119.0,408548.9986846508
