white_Births_15_50,Female_Pop_15_50,white_Female_Pop_15_50,total_Births_15_50,female_Age_15_19,female_Age_20_34,female_Age_35_50,female_Edu_Less_HS_15_50,female_Edu_HS_Grad_15_50,female_Edu_Some_College_15_50,female_Edu_Bachelors_15_50,female_Edu_Grad_Prof_15_50,female_Labor_Force_15_50,female_Pub_Assist_Yes_15_50,female_Pub_Assist_No_15_50,female_Poverty_Determined_15_50,"female_below_Poverty_15_50,",female_Above_200_Poverty_15_50,white_pop_15plus,married_white_15plus,divorced_white_15plus,nm_white_15plus,total_insured_white,med_income_white,us,Year
2214288,76352003,45739240,4168720,10751573,30996555,34603875,14171255,17155150,25373088,13501989,6150521,53324156,1958446,74393557,74708468,13490384,47118396,164472657,87170508,19243301,44243145,194089881,54168.0,1,2010
2209244,76202126,45267948,4113472,10601506,31432625,34167995,13901916,16865983,25459096,13624329,6350802,53010321,2001253,74200873,74535425,14079035,46253145,164968536,86773450,19466287,44706473,194284351,55305.0,1,2011
2206855,76187270,44790429,4125353,10504417,31853305,33829548,13559177,16491867,25635902,13863148,6637176,53117217,1996163,74191107,74504104,14048306,46204874,165437009,86688993,19852441,45164303,194497291,56565.0,1,2012
2111818,76129362,44328454,3930417,10427332,32185659,33516371,13534366,16310948,25332363,14077128,6874557,53009725,1971235,74158127,74431908,14055535,46238442,165858351,86578059,19737144,45776905,194651933,57684.0,1,2013
2111959,76395472,43917126,3946228,10406203,32562672,33426597,13338769,16320119,25276790,14271759,7188035,53188452,1840665,74554807,74678642,13761864,46776628,166170206,86574677,19774255,46195317,194662444,59622.0,1,2014
2114920,76551119,43528688,3931053,10460193,32738955,33351971,13233416,16274932,24962758,14664312,7415701,53431276,1720373,74830746,74826771,13150145,47888781,166551125,86606585,19986135,46467764,154565265,61394.0,1,2015
2106390,76483611,43167649,3946903,10500178,32758858,33224575,13084926,16013841,24668787,14974504,7741553,53784287,1611875,74871736,74730597,12394612,48900493,166743034,86539635,19842421,46854793,155464870,63155.0,1,2016
2136880,76791565,42860604,3997394,10493304,32891322,33406939,12771839,16155823,24386124,15362890,8114889,54220770,1505636,75285929,75028851,11797384,49824034,166776958,87057572,19846458,46530771,163952511,65845.0,1,2017
2111164,76857068,42562402,3956960,10472771,32960008,33424289,12519966,16065374,24111302,15692255,8468171,54785780,1454772,75402296,75087522,11484450,50426679,166775345,87223505,19846266,46697097,164713034,67937.0,1,2018
2066688,76879571,42308780,3877882,10449871,32933396,33496304,12354406,16058268,23726891,16023912,8716094,55265605,1339850,75539721,75108636,10710505,51640454,166753657,86878655,20010439,46857778,165287651,71664.0,1,2019
2127510,76683447,42462812,3982654,10358158,33050086,33275203,12368707,15815555,24121607,15847523,8530055,54601303,1533287,75150160,74915172,11267148,50730533,166253721,87449457,19617939,46052281,164384752,70843.0,1,2020
2015141,77261357,41171444,3922188,10652932,32728917,33879508,12108084,16138616,22721468,16736893,9556296,55140637,1883398,75377959,75490387,11061740,52253092,164011076,86433837,18861274,46415135,166277726,75412.0,1,2021
2056093,77449729,40825475,4036894,10618136,33160377,33671216,12019033,16164267,22437503,17066788,9762138,56099673,1490074,75959655,75618474,10823152,52721441,164224779,86382234,18721625,46639837,166626741,80404.0,1,2022
