white_Births_15_50,Female_Pop_15_50,white_Female_Pop_15_50,total_Births_15_50,female_Age_15_19,female_Age_20_34,female_Age_35_50,female_Edu_Less_HS_15_50,female_Edu_HS_Grad_15_50,female_Edu_Some_College_15_50,female_Edu_Bachelors_15_50,female_Edu_Grad_Prof_15_50,female_Labor_Force_15_50,female_Pub_Assist_Yes_15_50,female_Pub_Assist_No_15_50,female_Poverty_Determined_15_50,"female_below_Poverty_15_50,",female_Above_200_Poverty_15_50,white_pop_15plus,married_white_15plus,divorced_white_15plus,nm_white_15plus,total_insured_white,med_income_white,Year,total_insured,femal_no_public_coverage_18_24,femal_no_public_coverage_25_34,femal_no_public_coverage_35_44,total_occupants_per_room,owner_occupied_1.01_1.50_occupants,owner_occupied_1.51_2_occupants,owner_occupied_2plus_occupants,renter_occupied_1.01_1.50_occupants,renter_occupied_1.01_1.50_occupants.1,renter_occupied_1.01_1.50_occupants.2,white_female_civilian_employed,white_female_management_employed,white_female_service_employed,white_female_sales_employed,white_female_natural_resources_employed,white_female_production_employed,Unnamed: 0,renter_occupied_white,owner_occupied_white,female_white_20_24_employed,female_white_25_29_employed,female_white_30_34_employed,female_white_35_44_employed,median_rent
2214288,76352003,45739240,4168720,10751573,30996555,34603875,14171255,17155150,25373088,13501989,6150521,53324156,1958446,74393557,74708468,13490384,47118396,164472657,87170508,19243301,44243145,194089881,54168.0,2010,304287836,12385558,17109932,17977161,114567419,1022005,215629,80456,1687857,636753,239534,50444279,20772113,9797168,16904565,432255,2538178,0,26420163,63129057,3931720,7170252,6885672,14454015,713
2209244,76202126,45267948,4113472,10601506,31432625,34167995,13901916,16865983,25459096,13624329,6350802,53010321,2001253,74200873,74535425,14079035,46253145,164968536,86773450,19466287,44706473,194284351,55305.0,2011,306560685,12484073,17161998,17680393,114991725,1003125,204987,74300,1663027,647702,249159,50659052,20967259,10001209,16683786,437406,2569392,1,27123258,62593623,3984364,7208674,6945344,14312224,727
2206855,76187270,44790429,4125353,10504417,31853305,33829548,13559177,16491867,25635902,13863148,6637176,53117217,1996163,74191107,74504104,14048306,46204874,165437009,86688993,19852441,45164303,194497291,56565.0,2012,303984241,12464760,17222626,18070393,115226802,978058,202078,76253,1601708,613388,247482,51159435,21044525,9883054,17169684,436607,2625565,2,27810320,62439906,4134746,7307505,7163328,14326554,746
2111818,76129362,44328454,3930417,10427332,32185659,33516371,13534366,16310948,25332363,14077128,6874557,53009725,1971235,74158127,74431908,14055535,46238442,165858351,86578059,19737144,45776905,194651933,57684.0,2013,306448495,12498717,17289786,17790856,115610216,992658,206437,78482,1656842,625505,237421,51056820,21193230,9964874,16895293,430653,2572770,3,28180377,62081217,4314180,7435991,7335403,14383088,766
2111959,76395472,43917126,3946228,10406203,32562672,33426597,13338769,16320119,25276790,14271759,7188035,53188452,1840665,74554807,74678642,13761864,46776628,166170206,86574677,19774255,46195317,194662444,59622.0,2014,309082258,12492815,17360113,17555299,116211092,996979,207650,79895,1703953,635740,228493,51323133,21503515,10056231,16743369,439222,2580796,4,28501429,62076624,4460748,7675061,7536203,14543257,786
2114920,76551119,43528688,3931053,10460193,32738955,33351971,13233416,16274932,24962758,14664312,7415701,53431276,1720373,74830746,74826771,13150145,47888781,166551125,86606585,19986135,46467764,154565265,61394.0,2015,311516332,12406465,17350143,17339162,116926305,989654,210319,80561,1724615,657286,227416,51760315,21893125,10146513,16663384,448589,2608704,5,28694799,62328765,4495388,7960276,7638240,14716185,812
2106390,76483611,43167649,3946903,10500178,32758858,33224575,13084926,16013841,24668787,14974504,7741553,53784287,1611875,74871736,74730597,12394612,48900493,166743034,86539635,19842421,46854793,155464870,63155.0,2016,313576137,12250466,17328143,17111586,117716237,983948,212211,82404,1749030,679578,225435,52220267,22339401,10203794,16594539,454550,2627983,6,28478262,62567341,4518142,8250360,7787988,14811106,841
2136880,76791565,42860604,3997394,10493304,32891322,33406939,12771839,16155823,24386124,15362890,8114889,54220770,1505636,75285929,75028851,11797384,49824034,166776958,87057572,19846458,46530771,163952511,65845.0,2017,316027641,12297404,15529803,16989238,118825921,998872,219865,84686,1745250,698587,228022,52722370,22890418,10222133,16489659,469016,2651144,7,27989919,63630526,4487545,8461907,7940949,15047604,868
2111164,76857068,42562402,3956960,10472771,32960008,33424289,12519966,16065374,24111302,15692255,8468171,54785780,1454772,75402296,75087522,11484450,50426679,166775345,87223505,19846266,46697097,164713034,67937.0,2018,317941631,12103613,15539856,16858372,119730128,1001168,225489,85678,1745464,722199,230318,53150457,23455062,10230267,15901343,484304,3079481,8,28040354,64312594,4555715,8647159,8071313,15389606,899
2066688,76879571,42308780,3877882,10449871,32933396,33496304,12354406,16058268,23726891,16023912,8716094,55265605,1339850,75539721,75108636,10710505,51640454,166753657,86878655,20010439,46857778,165287651,71664.0,2019,319706872,11952790,15634855,16869225,120756048,1012385,233095,86963,1732333,746211,234992,53594549,24024687,10259045,15702122,493135,3115560,9,28234856,64910316,4527742,8728262,8287536,15694588,941
2127510,76683447,42462812,3982654,10358158,33050086,33275203,12368707,15815555,24121607,15847523,8530055,54601303,1533287,75150160,74915172,11267148,50730533,166253721,87449457,19617939,46052281,164384752,70843.0,2020,321525041,11882242,15810486,17000630,122354219,1039899,247342,94652,1682727,759176,236853,52606981,24193500,9777446,15168057,471594,2996384,12,27314937,64086180,4513054,8562762,8105444,15261277,929
2015141,77261357,41171444,3922188,10652932,32728917,33879508,12108084,16138616,22721468,16736893,9556296,55140637,1883398,75377959,75490387,11061740,52253092,164011076,86433837,18861274,46415135,166277726,75412.0,2021,324818565,11758949,15804064,17253289,124010992,1078006,261209,100515,1679821,772097,243280,51365493,24249019,9284265,14481636,452413,2898160,10,23385870,61958636,4332796,8078347,8342156,15839459,1037
2056093,77449729,40825475,4036894,10618136,33160377,33671216,12019033,16164267,22437503,17066788,9762138,56099673,1490074,75959655,75618474,10823152,52721441,164224779,86382234,18721625,46639837,166626741,80404.0,2022,326147510,11918757,15692741,17227337,125736353,1111062,274553,105884,1672647,806358,254983,49852008,24140334,8766245,13751032,424944,2769453,11,24002986,62504868,4831100,8258416,8710971,16403480,1128
